path,chunk,bytes,sha256,lines,classes,functions,review,spec_ids
.gitattributes,01 Packaging and identity,43,745a997b266d1419db393f9fddd9a5f098c3d361215663584b6e0f575c486646,1,0,0,inventory and content classification,
.github/CODEOWNERS,02 CI and governance,25,1190156e837091f5fbbdb46370894376a3608193f69801aea63e34b111ed0a85,1,0,0,inventory and content classification; focused review with cited finding,F03
.github/ISSUE_TEMPLATE.md,02 CI and governance,2191,a743dc7cc8f7062bbbad97fea40d4a8bb1b3bc454c62be19f971679c3db301e5,72,0,0,inventory and content classification,
.github/ISSUE_TEMPLATE/bug_report.md,02 CI and governance,1396,a167ce59ccbe720866a4dfa0d7d16473e333b5742369bdccb2a06d678f7e562b,47,0,0,inventory and content classification,
.github/ISSUE_TEMPLATE/config.yml,02 CI and governance,323,f68af0e667cf297b578db8c1a778f6d9308f4be2c666658e3784fd5550b1c573,8,0,0,inventory and content classification,
.github/ISSUE_TEMPLATE/feature_request.md,02 CI and governance,497,1dee1738b950f0c65bd05a826fdb844ef06f4d75354e5e3c83b3c8608318a9ed,18,0,0,inventory and content classification,
.github/PULL_REQUEST_TEMPLATE.md,02 CI and governance,2287,0eb488d7f80f33d52109f12f171bceacce857c7763ff8fc15d4f3fff5d766c24,61,0,0,inventory and content classification,
.github/workflows/cd.yml,02 CI and governance,5917,9755f2f83dfbdaf6ad13a449f177e964807fd68aedb6f125c397156728ba46be,197,0,0,inventory and content classification; focused review with cited finding,F03
.github/workflows/ci.yml,02 CI and governance,2068,aaea94f4db7382d0352e3cfc8758912182e402b05b7a630c20aff761f247dc44,85,0,0,inventory and content classification; focused review with cited finding,F04
.github/workflows/codacy_coverage_reporter.yml,02 CI and governance,851,4c69d816030b250af6374f8f7ce6f9e23ea4cc2ea61cd19f84ecd50866da4f9f,29,0,0,inventory and content classification,
.github/workflows/issues.yml,02 CI and governance,850,28256a98af5e1f2d8d531e5f5245d9f0114994b75829fc72c91b91b55c23ab15,34,0,0,inventory and content classification,
.gitignore,01 Packaging and identity,2031,ae153d0ab66fe6beafdbd9a2f0ed781bbe20d0d6e3801f613cfcd485f98fa3fd,149,0,0,inventory and content classification,
.gitmodules,01 Packaging and identity,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,inventory and content classification,
LICENSE,01 Packaging and identity,333,505356d25f8eb911783e12b0d8800f9a60a0e6f6e534b32f14ca57e418dc5296,10,0,0,inventory and content classification; focused review with cited finding,F01
README.md,01 Packaging and identity,10091,a018fbf623241250d7b847f5cbb6a4329e112e8a98f0b17036b773d11d1e9fff,237,0,0,inventory and content classification; focused review with cited finding,F01
poetry.lock,01 Packaging and identity,333993,778505b19e723b2e4bd5088ed3a6288c2ea964ce1cea4453483a2d0ac86407d7,4144,0,0,inventory and content classification,
pyproject.toml,01 Packaging and identity,4824,b5e07902c61d699f2ea977d3c24ef5a8ce4f16b2c4b60045243f8a506a5b1ef9,184,0,0,inventory and content classification; focused review with cited finding,F01 F02 F04
src/lava/frameworks/loihi2.py,03 Core API,610,e1060dbd8bf0a2f514ecbb2ea7bdf4675993e089ae03e84af1f75c21ae8d4eea,14,0,0,AST and structural risk scan,
src/lava/magma/compiler/LICENSE,04 Compiler,26529,a1a33180d02960ab1c5de36cf20b1a2f0fe9888d83826ad263da5db52f1b183b,511,0,0,inventory and content classification,
src/lava/magma/compiler/builders/channel_builder.py,04 Compiler,11771,d5cdfa151391250e7c929b854df3256cb9ff42839ec13338f250d9e5a3a6c1c6,326,6,7,AST and structural risk scan,
src/lava/magma/compiler/builders/interfaces.py,04 Compiler,4210,22cffa5f5bdad9dffb1136bd2e3d800b45215f2ed5caf8b4289ff06f3543b558,152,7,9,AST and structural risk scan,
src/lava/magma/compiler/builders/py_builder.py,04 Compiler,15815,d0230c368d4f008346c691f73d3afa7cb97b7d6cab2ce06067c52e6c7a786ba0,427,1,11,AST and structural risk scan,
src/lava/magma/compiler/builders/runtimeservice_builder.py,04 Compiler,4937,5fd97a98916c9d9369e3b26e98ec6762501f1c4fc13ec9f34ce74973091d3c0e,141,2,5,AST and structural risk scan,
src/lava/magma/compiler/channel_map.py,04 Compiler,8574,b12b3688b51d003bdd75eb1f72e9e20f6f46a94ad1915c69ec2dd85fc15188f3,207,3,13,AST and structural risk scan,
src/lava/magma/compiler/channels/interfaces.py,06 Channels,1435,143f31d6b88386426658959768fcfc3504464fe77b4c67a6c83ff44413f09303,82,5,11,AST and structural risk scan,
src/lava/magma/compiler/channels/pypychannel.py,06 Channels,11958,298a2665c27445cade8f29f3c3c29dda8dc8fd29827a2b2f5b73c7fa0acf22a1,405,6,30,AST and structural risk scan; focused review with cited finding,F16
src/lava/magma/compiler/channels/watchdog.py,06 Channels,6593,623a604e7c034929d8f376bbadae6ed76ba5882df62dc0e7559a79c49c00bc98,222,9,25,AST and structural risk scan; focused review with cited finding,F17
src/lava/magma/compiler/compiler.py,04 Compiler,39009,d5a1f719aecdcffb1b5f4fb6017eaf55ff9a6387b53000f8b2a712fc39892022,889,7,15,AST and structural risk scan; focused review with cited finding,F05 F09 F10
src/lava/magma/compiler/compiler_graphs.py,04 Compiler,46168,f920a11542ad5471d04dec4495eacb07879aae1074668d3df7aec697f7093aab,1143,8,32,AST and structural risk scan; focused review with cited finding,F09 F11
src/lava/magma/compiler/compiler_utils.py,04 Compiler,1550,14ddbc1b19b2a28fc464e251f316b95f29590d80f691ea8ebdc205b1655519c1,42,2,1,AST and structural risk scan,
src/lava/magma/compiler/exceptions.py,04 Compiler,573,cf47a6dc43afef0298ad5e8c9fad8ec38d43dbdaed0ef4da32b4ef340e7995e3,18,2,2,AST and structural risk scan,
src/lava/magma/compiler/executable.py,04 Compiler,1980,b712d92922c7c7c19dbe13e182f540bbd763b3ade109dec5db1218f0c852aff0,50,1,1,AST and structural risk scan,
src/lava/magma/compiler/mappable_interface.py,04 Compiler,721,dd08ff0cdb9769b6e37beba97a7b0ad45025699d3d3b8af1372ca8db432bde5e,30,1,2,AST and structural risk scan,
src/lava/magma/compiler/mapper.py,04 Compiler,7767,bd0d5142bb60fda8f74bd88a59db9c11622dda1ad97848d8c07b7696142fe610,173,3,3,AST and structural risk scan,
src/lava/magma/compiler/node.py,04 Compiler,2269,d01da5fa3dd6efa1c42e14f57a9a5f2a44d38c554580f4f4f3fd2f9a931c29ce,73,2,8,AST and structural risk scan,
src/lava/magma/compiler/subcompilers/address.py,04 Compiler,514,3dbe9238f5bf921114e1b8e66e34b43cee466aae9f0a378680079243fd99348b,24,2,0,AST and structural risk scan,
src/lava/magma/compiler/subcompilers/channel_builders_factory.py,04 Compiler,12294,1501744c736cec832b62e54ea59825d72ffb8e885ab7de2005cf2975dce8c5f1,295,3,8,AST and structural risk scan,
src/lava/magma/compiler/subcompilers/channel_map_updater.py,04 Compiler,2390,930adbc76dd03a43ef1034d3355fe9833a7596ee5ca4f9e491abe230d5d4bf54,62,1,8,AST and structural risk scan,
src/lava/magma/compiler/subcompilers/constants.py,04 Compiler,723,79c00dd4d53c8f0f87684c931c78a31f95547b2b2c1ad6c86afaa83be4ae9f36,24,1,0,AST and structural risk scan,
src/lava/magma/compiler/subcompilers/exceptions.py,04 Compiler,769,daf5f97d4b6908079e9bd156fc47c163214b370af321d75f3c1362a69ea14eee,22,1,1,AST and structural risk scan,
src/lava/magma/compiler/subcompilers/interfaces.py,04 Compiler,2060,966136f142fc04f24c349b5e38f2f9fab54773fc2c3a97ff26f02786b954d5e5,59,2,5,AST and structural risk scan,
